node_type,x(m),y(m),RSSI,SINR,obss/pd,throughput
0,56.3011,42.2258,20,10000,-62,1.48
1,57.9251,33.7851,-78.99,33.38,-62,1.48
0,56.3011,42.2258,20,10000,-63,1.48
1,57.9251,33.7851,-77.99,33.38,-63,1.48
0,56.3011,42.2258,20,10000,-64,1.48
1,57.9251,33.7851,-76.99,33.38,-64,1.48
0,56.3011,42.2258,20,10000,-65,1.48
1,57.9251,33.7851,-75.99,33.38,-65,1.48
0,56.3011,42.2258,20,10000,-66,1.48
1,57.9251,33.7851,-74.99,33.39,-66,1.48
0,56.3011,42.2258,20,10000,-67,1.48
1,57.9251,33.7851,-73.99,33.39,-67,1.48
0,56.3011,42.2258,20,10000,-68,17
1,57.9251,33.7851,-72.99,31.03,-68,17
0,56.3011,42.2258,20,10000,-69,16.79
1,57.9251,33.7851,-71.99,30.25,-69,16.79
0,56.3011,42.2258,20,10000,-70,12.05
1,57.9251,33.7851,-70.99,27.75,-70,12.05
0,56.3011,42.2258,20,10000,-71,2.47
1,57.9251,33.7851,-69.99,20.24,-71,2.47
0,56.3011,42.2258,20,10000,-72,2.41
1,57.9251,33.7851,-68.99,20.63,-72,2.41
0,56.3011,42.2258,20,10000,-73,2.43
1,57.9251,33.7851,-59.99,20.77,-73,2.43
0,56.3011,42.2258,20,10000,-74,25.26
1,57.9251,33.7851,-66.99,27.62,-74,25.26
0,56.3011,42.2258,20,10000,-75,25.26
1,57.9251,33.7851,-65.99,27.7,-75,25.26
0,56.3011,42.2258,20,10000,-76,34.86
1,57.9251,33.7851,-64.99,26.69,-76,34.86
0,56.3011,42.2258,20,10000,-77,27.85
1,57.9251,33.7851,-59.99,30.69,-77,27.85
0,56.3011,42.2258,20,10000,-78,17.54
1,57.9251,33.7851,-59.99,33.39,-78,17.54
0,56.3011,42.2258,20,10000,-79,17.37
1,57.9251,33.7851,-59.99,33.2,-79,17.37
0,56.3011,42.2258,20,10000,-80,17.37
1,57.9251,33.7851,-59.99,33.2,-80,17.37
0,56.3011,42.2258,20,10000,-81,17.37
1,57.9251,33.7851,-59.99,33.2,-81,17.37
0,56.3011,42.2258,20,10000,-82,17.71
1,57.9251,33.7851,-59.99,33.12,-82,17.71
0,52.958,39.7185,20,10000,-62,88.15
1,57.2067,44.5565,-55.75,39.25,-62,88.15
0,52.958,39.7185,20,10000,-63,88.15
1,57.2067,44.5565,-55.75,39.25,-63,88.15
0,52.958,39.7185,20,10000,-64,88.15
1,57.2067,44.5565,-55.75,39.25,-64,88.15
0,52.958,39.7185,20,10000,-65,88.15
1,57.2067,44.5565,-55.75,39.25,-65,88.15
0,52.958,39.7185,20,10000,-66,88.15
